order_id,order_date,region,product,quantity,unit_price,customer_email,phone,total_amount,email_valid
ORD-00001,2025-04-13,CEBU,Cooking Oil 1L,5,562.36,customer0@outlook.ph,9216066793,2811.8,True
ORD-00002,2025-12-15,NCR,Rice 25kg,16,606.34,customer1@gmail.com,9510751046,9701.44,True
ORD-00003,2025-09-28,ILOILO,Cooking Oil 1L,1,1049.29,customer2@gmail.com,9141580226,1049.29,True
ORD-00004,2025-04-17,DAVAO,Sugar 1kg,14,595.07,customer3@outlook.ph,9605399561,8330.98,True
ORD-00005,2025-03-13,ILOILO,Instant Coffee,15,684.07,customer4@yahoo.com,9338836384,10261.05,True
ORD-00006,2025-07-08,ILOILO,Canned Sardines,9,371.57,customer5@gmail.com,9314289692,3344.13,True
ORD-00007,2025-01-21,CEBU,Sugar 1kg,15,572.41,customer6@gmail.com,9976803188,8586.15,True
ORD-00008,2025-04-13,DAVAO,Rice 25kg,17,356.36,customer7@gmail.com,9594246837,6058.12,True
ORD-00009,2025-05-02,ILOILO,Rice 25kg,4,128.33,customer8@outlook.ph,9475442872,513.32,True
ORD-00010,2025-08-03,NCR,Rice 25kg,12,913.1,customer9@gmail.com,9427696198,10957.2,True
ORD-00011,2025-11-27,NCR,Rice 25kg,5,1008.95,customer10@outlook.ph,9981044229,5044.75,True
ORD-00012,2025-03-29,BAGUIO,Rice 25kg,5,936.85,customer11@outlook.ph,9953995721,4684.25,True
ORD-00013,2025-04-10,DAVAO,Cooking Oil 1L,11,705.97,customer12@outlook.ph,9344378798,7765.67,True
ORD-00014,2025-12-26,DAVAO,Sugar 1kg,6,582.08,customer13@gmail.com,9339362341,3492.48,True
ORD-00015,2025-06-01,BAGUIO,Canned Sardines,7,1297.73,customer14@outlook.ph,9125409494,9084.11,True
ORD-00016,2025-05-11,ILOILO,Instant Coffee,14,788.24,customer15@yahoo.com,9808705238,11035.36,True
ORD-00017,2025-05-30,DAVAO,Instant Coffee,11,729.19,customer16@gmail.com,9307371533,8021.09,True
ORD-00018,2025-11-05,NCR,Sugar 1kg,13,57.95,customer17@gmail.com,9527849588,753.35,True
ORD-00019,2025-09-15,NCR,Sugar 1kg,2,525.05,customer18@gmail.com,9452468587,1050.1,True
ORD-00020,2025-12-10,CEBU,Instant Coffee,7,582.69,customer19@gmail.com,9399147754,4078.83,True
ORD-00021,2025-10-21,DAVAO,Instant Coffee,4,610.26,customer20@gmail.com,9174539964,2441.04,True
ORD-00022,2025-07-11,ILOILO,Cooking Oil 1L,8,878.66,customer21@outlook.ph,9930353157,7029.28,True
ORD-00023,2025-10-04,BAGUIO,Laundry Soap,19,809.73,customer22@outlook.ph,9399708182,15384.87,True
ORD-00024,2025-06-10,BAGUIO,Canned Sardines,13,919.7,customer23@gmail.com,9477040284,11956.1,True
ORD-00025,2025-11-10,ILOILO,Rice 25kg,14,1152.03,customer24@outlook.ph,9788785773,16128.42,True
ORD-00026,2025-01-22,CEBU,Laundry Soap,10,1223.22,customer25@gmail.com,9646970178,12232.2,True
ORD-00027,2025-09-10,BAGUIO,Sugar 1kg,11,1082.82,customer26@outlook.ph,9529151399,11911.02,True
ORD-00028,2025-08-24,DAVAO,Instant Coffee,2,1434.18,invalid-email,9829627019,2868.36,False
ORD-00029,2025-12-11,CEBU,Laundry Soap,9,46.98,customer28@outlook.ph,9675757257,422.82,True
ORD-00030,2025-02-18,DAVAO,Canned Sardines,17,309.75,customer29@outlook.ph,9455569462,5265.75,True
ORD-00031,2025-02-28,NCR,Sugar 1kg,3,31.19,customer30@yahoo.com,9129635852,93.57,True
ORD-00032,2025-06-19,CEBU,Rice 25kg,6,978.26,customer31@gmail.com,9223847257,5869.56,True
ORD-00033,2025-07-07,BAGUIO,Rice 25kg,5,1349.09,customer32@yahoo.com,9380477683,6745.45,True
